row,key,ok,messages
42,0912BCOM483,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
43,1117PHARMD008,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
44,1117PHARMD020,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
45,1016PHARMD008,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
46,1117PHARMD001,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
47,1117PHARMD015,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
48,1117PHARMD017,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
49,1117PHARMD007,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
50,1117PHARMD023,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
51,1117PHARMD005,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
52,1117PHARMD024,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
53,1117PHARMD021,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
54,1013BCA455,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
55,1517IT22098,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
56,1113MBA098,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
57,1117PHARMD026,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
58,1117PHARMD018,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
59,1117PHARMD022,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
60,1117PHARMD002,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
61,1117PHARMD019,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
62,1117PHARMD011,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
63,1317BPHARM01008,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
64,1316BCA04401,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
65,1117PHARMD003,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
66,1517BT22051,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
67,21012SBBAS001,False,missing_doc_rec;missing_enrollment;missing_institute;missing_main;missing_sub;{'missing_required': ['pay_rec_no']}
68,1417BBA03131,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
69,1516EDU10030,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
70,1317BEAE30039,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
71,1317BECE30097,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
72,1317BECE30088,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
73,1317BEAE30053,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
74,1317BEEE30036,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
75,1317BEEE30023,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
76,1317BEEE30014,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
77,1317BECE30024,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
78,1317BECE30166,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
79,1317BECE30140,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
80,1317BECI30029,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
81,1317BECE30027,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
82,1317BECE30010,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
83,1317BEIT30049,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
84,1317BECI30013,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
85,1317BEEE30019,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
86,1317BECE30091,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
87,1317BEEE30002,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
88,21417SBEEC30073,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
89,1317BECE30001,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
90,1317BEEC30010,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
91,21317SBECE30004,False,missing_doc_rec;missing_enrollment;missing_institute;missing_main;missing_sub;{'missing_required': ['pay_rec_no']}
92,1317BECE30127,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
93,1317BECI30057,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
94,1317BEEC30047,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
95,1317BEME30005,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
96,1317BEME30025,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
97,1317BEEC30050,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
98,1317BECE30084,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
99,1317BECE30082,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
100,1317BEEC30044,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
101,1317BEEC30012,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
102,1317BECE30016,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
103,1317BECE30112,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
104,1317BECE30012,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
105,1517MECE30010,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
106,21417SBEEC30060,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
107,1317BECE30099,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
108,11D0324,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
109,1317BEME30042,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
110,1517MEMEPR30006,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
111,1317BEEE30074,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
112,1317BEEC30046,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
113,1317BECE30171,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
114,1317BEEE30012,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
115,1317BEEE30037,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
116,1317BEEE30013,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
117,21417SBEEC30061,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
118,21417SBEEC30064,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
119,21417SBEEC30059,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
120,,False,missing_doc_rec;missing_enrollment;missing_institute;missing_main;missing_sub;{'missing_required': ['pay_rec_no']}
121,1317BEAE30045,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
122,21417SBEEC30072,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
123,21417SBEEC30070,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
124,21417SBEEC30065,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
125,21417SBEEC30063,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
126,1317BEME30081,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
127,1317BEME30093,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
128,1317BEME30028,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
129,1317BEEE30097,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
130,21417SBEEC30069,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
131,1317BECE30025,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
132,21417SBEEC30057,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
133,1317BEME30118,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
134,1317BEME30002,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
135,1317BEEC30006,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
136,,False,missing_doc_rec;missing_enrollment;missing_institute;missing_main;missing_sub;{'missing_required': ['pay_rec_no']}
137,1417BBA03283,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
138,1417BCA04156,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
139,1417BCA04001,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
140,1417BCA04263,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
141,1317BECE30032,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
142,1317BECE30155,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
143,1117PHARMD013,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
144,1317BEEC30024,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
145,1417BCA04070,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
146,1317BEEE30005,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
147,1317BEME30080,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
148,21417SBECI30073,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
149,1317BECE30026,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
150,1317BEEE30021,False,missing_doc_rec;{'missing_required': ['pay_rec_no']}
